ZIP Code,Week Number,Week Start,Week End,ZIP Code Location,case rate,test rate,death rate
60661,29,07/12/2020,07/18/2020,POINT (-87.644283 41.882786),0.00674995,0.113237961,0
60601,29,07/12/2020,07/18/2020,POINT (-87.622844 41.886262),0.006541738,0.099488927,0.000408859
60606,29,07/12/2020,07/18/2020,POINT (-87.63676 41.882634),0.013544018,0.352466946,0.000322477
60611,29,07/12/2020,07/18/2020,POINT (-87.620291 41.894734),0.007031395,0.134706717,9.25183E-05
60666,29,07/12/2020,07/18/2020,POINT (-87.896371 41.979511),0,0,0
60645,29,07/12/2020,07/18/2020,POINT (-87.695049 42.008927),0.024260454,0.13284589,0.001424621
60625,29,07/12/2020,07/18/2020,POINT (-87.701816 41.971155),0.0201532,0.126862941,0.00128718
60640,29,07/12/2020,07/18/2020,POINT (-87.662232 41.971888),0.01369863,0.138248584,0.00121925
60626,29,07/12/2020,07/18/2020,POINT (-87.669834 42.009469),0.024311281,0.168248542,0.002352705
60657,29,07/12/2020,07/18/2020,POINT (-87.658216 41.939715),0.006809227,0.114115229,0.000399703
60615,29,07/12/2020,07/18/2020,POINT (-87.602725 41.801993),0.011548733,0.13324351,0.000384958
60621,29,07/12/2020,07/18/2020,POINT (-87.638812 41.776931),0.020763033,0.134701467,0.001824943
60651,29,07/12/2020,07/18/2020,POINT (-87.741017 41.901964),0.03079819,0.142854883,0.001202189
60707,29,07/12/2020,07/18/2020,POINT (-87.808283 41.921777),0.008298659,0.061135777,0.000278947
60631,29,07/12/2020,07/18/2020,POINT (-87.813371 41.995019),0.013512141,0.150597717,0.001388466
60602,29,07/12/2020,07/18/2020,POINT (-87.628309 41.883136),0.011254019,0.181672026,0
60607,29,07/12/2020,07/18/2020,POINT (-87.652727 41.876104),0.017167382,0.133351357,0.000135176
60630,29,07/12/2020,07/18/2020,POINT (-87.759611 41.971261),0.015694754,0.117797852,0.001081194
60641,29,07/12/2020,07/18/2020,POINT (-87.746791 41.946682),0.024104867,0.146389198,0.000760317
60622,29,07/12/2020,07/18/2020,POINT (-87.681818 41.902762),0.014604209,0.150796507,0.001079689
60636,29,07/12/2020,07/18/2020,POINT (-87.668597 41.77599),0.025991367,0.132441077,0.001614756
60610,29,07/12/2020,07/18/2020,POINT (-87.63581 41.90455),0.009200646,0.128629642,0.000256285
60659,29,07/12/2020,07/18/2020,POINT (-87.703266 41.990803),0.020405182,0.108283822,0.001071394
60614,29,07/12/2020,07/18/2020,POINT (-87.652064 41.922605),0.009115387,0.115204465,0.000967633
60644,29,07/12/2020,07/18/2020,POINT (-87.756863 41.881113),0.029007378,0.152854628,0.001907277
60603,29,07/12/2020,07/18/2020,POINT (-87.625473 41.880112),0.008517888,0.139693356,0
60634,29,07/12/2020,07/18/2020,POINT (-87.797373 41.944967),0.021856701,0.147707086,0.000697414
60637,29,07/12/2020,07/18/2020,POINT (-87.604053 41.780991),0.01504615,0.140346441,0.000547899
60649,29,07/12/2020,07/18/2020,POINT (-87.571522 41.762202),0.020119937,0.144294281,0.00256388
60618,29,07/12/2020,07/18/2020,POINT (-87.703343 41.946699),0.016070766,0.12701944,0.000529689
60623,29,07/12/2020,07/18/2020,POINT (-87.717446 41.850321),0.04251038,0.142325452,0.001732981
60647,29,07/12/2020,07/18/2020,POINT (-87.701101 41.921058),0.01838668,0.145002228,0.000994183
60629,29,07/12/2020,07/18/2020,POINT (-87.711565 41.777061),0.033178364,0.129539562,0.000867233
60613,29,07/12/2020,07/18/2020,POINT (-87.661343 41.953742),0.009678127,0.120886796,0.000618602
60660,29,07/12/2020,07/18/2020,POINT (-87.666362 41.991062),0.011979094,0.119975949,0.000901901
60654,29,07/12/2020,07/18/2020,POINT (-87.636354 41.892485),0.010608832,0.128403449,5.22603E-05
60608,29,07/12/2020,07/18/2020,POINT (-87.670366 41.849879),0.024455527,0.133236538,0.000883783
60642,29,07/12/2020,07/18/2020,POINT (-87.657821 41.899935),0.011781595,0.14098312,0.000643532
60604,29,07/12/2020,07/18/2020,POINT (-87.629029 41.878153),0.030690537,0.222506394,0
60638,29,07/12/2020,07/18/2020,POINT (-87.771902 41.787032),0.021327619,0.118441417,0.000629284
60653,29,07/12/2020,07/18/2020,POINT (-87.611244 41.819261),0.019423245,0.175466033,0.001125985
60619,29,07/12/2020,07/18/2020,POINT (-87.60569 41.744737),0.017662999,0.152698423,0.001061086
60655,29,07/12/2020,07/18/2020,POINT (-87.701434 41.696456),0.01135259,0.135675601,0.000312457
60617,29,07/12/2020,07/18/2020,POINT (-87.556897 41.721257),0.01714445,0.134538493,0.000787554
60633,29,07/12/2020,07/18/2020,POINT (-87.556037 41.653147),0.014917256,0.110247844,0.000310776
60612,29,07/12/2020,07/18/2020,POINT (-87.687011 41.88004),0.02287896,0.155460348,0.000816065
60646,29,07/12/2020,07/18/2020,POINT (-87.761826 41.993931),0.014935506,0.131846929,0.001500697
