Community Area,Community Area Name,Crowded Housing,Per Capita Income,2016-2018 adult smoking rate,2013-2017_Age_Adj_Rat_Influenza and pneumonia deaths,lung cancer death rate
1,Rogers Park,7.9,23714,21.7,22.8,23.9
2,West Ridge,7,21375,13.6,15.7,22.2
3,Uptown,4.6,32355,14.9,14.9,25.9
4,Lincoln Square,3.1,35503,11.6,16.3,24.5
5,North Center,0.2,51615,17.9,8.5,26.5
6,Lake View,1.2,58227,13.6,8.3,19.5
7,Lincoln Park,0.6,71403,9.2,11.4,27.4
8,Near North Side,2,87163,13,6.6,20.1
9,Edison Park,0.6,38337,29.4,2.6,22
10,Norwood Park,2.3,31659,13.6,16.1,40.4
11,Jefferson Park,1.9,27280,14.8,14.1,45.8
12,Forest Glen,1.3,41509,18.9,12.3,28
13,North Park,3.8,24941, ,25.7,32.7
14,Albany Park,11.2,20355,12,20.7,33.5
15,Portage Park,4.4,23617,9.2,13.5,48.1
16,Irving Park,5.6,26713,26.2,21.1,45.1
17,Dunning,4.8,26347,8.9,13.9,36.5
18,Montclaire,5.8,21257,23.4,18.4,42.1
19,Belmont Cragin,10,15246,13.4,12.6,30.3
20,Hermosa,8.4,15411,22.8,27.4,31.2
21,Avondale,5.8,20489,9.8,18,30.9
22,Logan Square,3.2,29026,19,17.2,29.4
23,Humboldt Park,11.2,13391,32.4,17.3,36.6
24,West Town,2,39596,14.1,8.3,28.1
25,Austin,5.7,15920,33.9,18.6,63.3
26,West Garfield Park,8.9,10951,29.5,23.7,86.8
27,East Garfield Park,7.5,13596,32,20.1,66.1
28,Near West Side,3.8,41488,13.6,14.2,38.9
29,North Lawndale,7.2,12548,26.8,22,55.8
30,South Lawndale,17.6,10697,13.4,17.3,23.5
31,Lower West Side,10.4,15467,16.2,15.6,22.4
32,Loop,2,67699,13.1,12.9,29.7
33,Near South Side,1.4,60593,13.3,26.7,44.9
34,Armour Square,5.9,16942, ,20.3,50.5
35,Douglas,1.6,23098,13.9,24,63.3
36,Oakland,3.5,19312, ,15.4,95
37,Fuller Park,4.5,9016,36.3,22.6,105.9
38,Grand Boulevard,2.7,22056,16.2,17.8,60.7
39,Kenwood,2.3,37519,18.9,12.2,41.4
40,Washington Park,4.9,13087,30.4,20.1,70.2
41,Hyde Park,2.5,39243,8.6,11.1,33.9
42,Woodlawn,1.8,18928,20.4,14.8,77.1
43,South Shore,2.9,18366,25,20.9,48.7
44,Chatham,2.2,20320,31,17,53.4
45,Avalon Park,0.6,23495,30.4,22.8,31.7
46,South Chicago,5.9,15393,35.3,20.2,58.6
47,Burnside,5.5,13756, ,28.7,49.3
48,Calumet Heights,1.8,28977,14.9,18,46.4
49,Roseland,3.1,17974,27.1,17.8,46.7
50,Pullman,1.4,19007,17.8,28,44.7
51,South Deering,6,15506,29.2,15.1,55.4
52,East Side,8.3,15347,18.3,19.3,51.3
53,West Pullman,3.3,16228,19.2,18.5,66.6
54,Riverdale,5.1,8535,32.8,12.8,95.2
55,Hegewisch,4.4,22561,27.2,7.8,54.2
56,Garfield Ridge,2.6,24684,10.6,21.5,44.7
57,Archer Heights,8.5,16145, ,15.6,18.7
58,Brighton Park,13.2,13138,16.5,14,40.6
59,McKinley Park,6.9,17577,17.4,27.1,31.2
60,Bridgeport,4.8,24969,14.4,15.7,48.9
61,New City,12.2,12524,20.9,20.5,47.6
62,West Elsdon,8.7,16938,19.4,14,30.3
63,Gage Park,17.4,12014,12.4,13.3,26.9
64,Clearing,3.4,23920,30.8,17,62.1
65,West Lawn,6.8,15898,15.2,14,30.5
66,Chicago Lawn,6.5,14405,21.9,25.3,58.6
67,West Englewood,6.9,10559,33.8,22.3,64.4
68,Englewood,4.8,11993,28.1,21,67.1
69,Greater Grand Crossing,4.2,17213,28.5,19.7,60.8
70,Ashburn,4.2,22078,15.3,18.2,59.1
71,Auburn Gresham,4.1,16022,20.2,20.1,61
72,Beverly,0.7,40107,5.2,16.4,39.4
73,Washington Heights,1.1,19709,14.9,16.8,55.2
74,Mount Greenwood,1.1,34221,28.7,12.5,61.7
75,Morgan Park,0.8,26185,21.3,19.1,55.1
76,O'Hare,1.9,29402, ,13,46.2
77,Edgewater,3.9,33364,12.1,19.3,35.6
